,AUROC,AUPR-IN,AUPR-OUT,FPR95TPR,Method,Dataset,Seed
0,0.958262026309967,0.9960891604423523,0.9376881718635559,0.07249999791383743,Logic-based,FoolingImages,0
1,0.964824914932251,0.997189998626709,0.9653424024581909,0.07000000029802322,Logic-based-OE,FoolingImages,0
2,0.8762499690055847,0.9900446534156799,0.6152702569961548,1.0,Logic-only,FoolingImages,0
3,0.9628999829292297,0.9970483779907227,0.9408750534057617,0.07000000029802322,Logic-only-OE,FoolingImages,0
4,0.9929721355438232,0.9992690086364746,0.9731374979019165,0.023749999701976776,Ensemble,FoolingImages,0
5,0.9889212846755981,0.999011754989624,0.9371354579925537,0.05375000089406967,MSP,FoolingImages,0
6,0.997302770614624,0.9997477531433105,0.9837589859962463,0.009999999776482582,Energy,FoolingImages,0
7,0.9787870645523071,0.998113751411438,0.8630617260932922,0.10875000059604645,Mahalanobis,FoolingImages,0
8,0.9889436960220337,0.9989489912986755,0.9496309161186218,0.054999999701976776,ViM,FoolingImages,0
9,0.9954621195793152,0.9996039271354675,0.968441903591156,0.019999999552965164,Entropy,FoolingImages,0
10,0.9961670637130737,0.999655544757843,0.9781324863433838,0.016249999403953552,MaxLogit,FoolingImages,0
11,0.9555341601371765,0.9921466708183289,0.9426661133766174,0.07249999791383743,Logic-based,Textures,0
12,0.9641708731651306,0.9948687553405762,0.9637123346328735,0.07000000029802322,Logic-based-OE,Textures,0
13,0.8382269740104675,0.9776882529258728,0.6404609680175781,1.0,Logic-only,Textures,0
14,0.9549822807312012,0.9937403202056885,0.9034202098846436,0.07000000029802322,Logic-only-OE,Textures,0
15,0.9949078559875488,0.9991409778594971,0.9829249978065491,0.02250000089406967,Ensemble,Textures,0
16,0.9933843612670898,0.9989961385726929,0.9699525237083435,0.032499998807907104,MSP,Textures,0
17,0.9984568357467651,0.9997486472129822,0.9932321906089783,0.0037499999161809683,Energy,Textures,0
18,0.9463736414909363,0.9898378849029541,0.8426204919815063,0.2224999964237213,Mahalanobis,Textures,0
19,0.9781650304794312,0.9952569603919983,0.9509364366531372,0.07124999910593033,ViM,Textures,0
20,0.9975939393043518,0.999643862247467,0.9870463609695435,0.009999999776482582,Entropy,Textures,0
21,0.9978885054588318,0.9996775984764099,0.9903080463409424,0.009999999776482582,MaxLogit,Textures,0
22,0.953891932964325,0.977280855178833,0.9564274549484253,0.07625000178813934,Logic-based,ImageNetO,0
23,0.9645506143569946,0.9860670566558838,0.9738180637359619,0.07000000029802322,Logic-based-OE,ImageNetO,0
24,0.828499972820282,0.9424569606781006,0.7633721232414246,1.0,Logic-only,ImageNetO,0
25,0.9597500562667847,0.9847407341003418,0.9612744450569153,0.07000000029802322,Logic-only-OE,ImageNetO,0
26,0.9904311895370483,0.99507075548172,0.9848369359970093,0.03750000149011612,Ensemble,ImageNetO,0
27,0.9910256266593933,0.9961408376693726,0.9820379018783569,0.038750000298023224,MSP,ImageNetO,0
28,0.9974882006645203,0.9988332986831665,0.9950224161148071,0.007499999832361937,Energy,ImageNetO,0
29,0.9648374915122986,0.9814968109130859,0.9436209201812744,0.13500000536441803,Mahalanobis,ImageNetO,0
30,0.9858537316322327,0.9917344450950623,0.9807904958724976,0.05249999836087227,ViM,ImageNetO,0
31,0.9962431788444519,0.9984399676322937,0.9915568232536316,0.012500000186264515,Entropy,ImageNetO,0
32,0.9967131614685059,0.9985763430595398,0.9933635592460632,0.011250000447034836,MaxLogit,ImageNetO,0
33,0.9494466781616211,0.9982985854148865,0.8059701919555664,0.10125000029802322,Logic-based,ImageNetR,0
34,0.9610987901687622,0.9989266991615295,0.8462027311325073,0.07000000029802322,Logic-based-OE,ImageNetR,0
35,0.8246500492095947,0.9950603246688843,0.5064982771873474,1.0,Logic-only,ImageNetR,0
36,0.9453000426292419,0.9985185265541077,0.6590554714202881,0.07000000029802322,Logic-only-OE,ImageNetR,0
37,0.9776613116264343,0.999155580997467,0.8193106055259705,0.07874999940395355,Ensemble,ImageNetR,0
38,0.9671941995620728,0.998974084854126,0.6520224809646606,0.15000000596046448,MSP,ImageNetR,0
39,0.9859028458595276,0.9995718598365784,0.7487215995788574,0.0625,Energy,ImageNetR,0
40,0.9787099957466125,0.9993032813072205,0.8245654702186584,0.09125000238418579,Mahalanobis,ImageNetR,0
41,0.9911189079284668,0.9997063279151917,0.9201990365982056,0.028750000521540642,ViM,ImageNetR,0
42,0.9796398878097534,0.9993934035301208,0.6880470514297485,0.08500000089406967,Entropy,ImageNetR,0
43,0.9835053086280823,0.9994975328445435,0.7404833436012268,0.06875000149011612,MaxLogit,ImageNetR,0
44,0.9436185359954834,0.9920323491096497,0.8785372972488403,0.11500000208616257,Logic-based,ImageNetA,0
45,0.9563407897949219,0.9949499368667603,0.9024860858917236,0.09125000238418579,Logic-based-OE,ImageNetA,0
46,0.7854682207107544,0.9768667221069336,0.5769017338752747,1.0,Logic-only,ImageNetA,0
47,0.9137625694274902,0.990907609462738,0.7147412896156311,1.0,Logic-only-OE,ImageNetA,0
48,0.9718664884567261,0.9957593083381653,0.8970245718955994,0.09875000268220901,Ensemble,ImageNetA,0
49,0.9693940281867981,0.9962212443351746,0.8501156568527222,0.14499999582767487,MSP,ImageNetA,0
50,0.98505699634552,0.9981995820999146,0.9040050506591797,0.06875000149011612,Energy,ImageNetA,0
51,0.9641931056976318,0.994892954826355,0.879500687122345,0.14249999821186066,Mahalanobis,ImageNetA,0
52,0.9865151047706604,0.9979833960533142,0.9595121145248413,0.051249999552965164,ViM,ImageNetA,0
53,0.9807263612747192,0.9977256059646606,0.8815512657165527,0.08250000327825546,Entropy,ImageNetA,0
54,0.9832972884178162,0.9979875087738037,0.9003726243972778,0.07374999672174454,MaxLogit,ImageNetA,0
55,0.9519423246383667,0.9954881072044373,0.9318469762802124,0.08124999701976776,Logic-based,FoolingImages,1
56,0.9592481851577759,0.9967526197433472,0.9607030749320984,0.08124999701976776,Logic-based-OE,FoolingImages,1
57,0.8696749806404114,0.9894261956214905,0.6076985597610474,1.0,Logic-only,FoolingImages,1
